Name,Season,0-19,20-29,30-39,40-49,50+,XP,Total,Seasons
AJ Cole III,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Aaron Elling,2003,0.0,0.9292069140823592,-4.283015699773318,-2.565656565656564,-2.920056100981767,0.782778304672265,-8.056743147657023,3
Aaron Pettrey,2010,0.0,-2.728301886792453,0.0,-2.1943462897526502,0.0,0.04530477759472795,-4.877343398950375,1
Adam Podlesh,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
Adam Vinatieri,1996,1.1181818181818186,4.361743070628838,-12.199431797026497,28.903364273797358,6.048634117205938,-5.517447533776952,22.71504394901051,24
Al Del Greco,1984,1.0906604242767233,-5.204788545827167,18.555167801923087,2.935301017246899,10.138296835601484,4.405690106786414,31.92032764000744,17
Al Dorow,1960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Al Herline,1987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Aldrick Rosas,2017,0.0,1.4552807024954946,-2.6512464960338376,-13.143221454058875,3.526006030023827,-2.2644322598070588,-13.07761347738045,4
Alex Henery,2011,0.0,-0.31901489622030343,-2.294927176115298,-1.3130674259715462,-6.206435948157802,-0.39680190584136366,-10.530247352306315,4
Alex Waits,1991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Ali Haji-Sheikh,1983,0.3612040133779262,6.443597944389326,-6.90989587981055,-3.4851796601135185,-3.882505526088755,-4.551321648388774,-12.024100756634347,5
Allan Leavitt,1977,0.5625,-1.1024096385542173,-0.7422680412371134,-0.9545454545454544,-0.5454545454545454,0.403225806451613,-2.3789518733397172,1
Allan Watson,1970,0.5294117647058825,1.7765363128491618,-1.92,-1.9090909090909094,-0.6986301369863013,-0.7881462799495589,-3.0099192484717254,1
Allen Green,1961,-0.23076923076922995,-5.0,1.7045454545454544,-2.495049504950495,-0.6666666666666666,0.5512572533849109,-6.136682694456026,1
Andrew Franks,2015,0.0,-4.8111864406779645,2.186145510835913,-5.776338231435319,-1.3,0.7713762149190444,-8.930002946358325,2
Andy Groom,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Andy Lee,2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17
Andy Russell,1966,0.0,0.0,0.0,0.0,0.0,0.03159851301115246,0.03159851301115246,1
Andy Stynchula,1964,0.609375,-0.5769230769230762,-4.824742268041238,0.0,0.0,-0.53524356087649,-5.327533905840804,2
Austin Seibert,2019,0.0,0.2975206611570238,2.343396226415093,-1.115465587044533,-0.4758620689655175,-3.7937146585471897,-2.744125426985123,2
B.J. Sander,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Babe Parilli,1964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Bake Turner,1969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Barry Bowman,1987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Barry Cantrell,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Barry Helton,1988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
Ben Agajanian,1960,2.3242553778268062,2.1645390070921993,0.006112385713796353,-0.007954043305346215,-0.8571428571428571,1.9561843559771264,5.5859942261617235,3
Ben Graham,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
Ben Roethlisberger,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
Benny Ricardo,1976,0.7678571428571431,-0.24152755369823897,10.788848697365637,-10.968459569115154,-4.917576125827106,2.1978346850284076,-2.3730227233893104,7
Bert Rechichar,1960,0.8461538461538461,-4.061538461538461,1.3478260869565217,0.23076923076923062,0.0,0.1925925925925931,-1.4441967050662696,1
Bill Anderson,1962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Bill Bell,1971,-4.097142857142858,1.525654673195656,-1.9661912371716896,-10.027901785714285,-0.4838709677419355,-3.4426136513290286,-18.49206582590414,3
Bill Bradley,1969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
Bill Capece,1981,0.0,-1.6786619718309845,-8.351016283392383,-8.157928291117914,4.446867773807021,-1.585114074398625,-15.325852846932882,3
Bill George,1961,-2.0769230769230766,0.0,0.0,0.0,0.0,0.0,-2.0769230769230766,1
Bill Gramatica,2001,0.29999999999999993,-0.34147203393659664,1.4030396028504946,2.026753322339701,-3.2250214447245984,-0.010156753178890976,0.15314269335010944,4
Bill Johnson,1970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Bill LaFleur,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Bill Malinchak,1969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Bill Martin,1968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Bill McClard,1972,0.21951219512195141,-3.2257634257634273,-3.3588552879997358,-6.674593847828005,3.9661290322580647,0.9287662174700559,-8.144805116741097,4
Bill Renner,1986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Bill Shockley,1960,3.303847214561499,6.198014184397165,2.197947699437273,-9.85428253615128,-1.1785714285714286,1.0136647441626359,1.6806198778358639,4
Billy Atkins,1960,1.4594594594594592,-1.9066666666666663,-3.5029239766081868,1.7419354838709675,0.0,-4.161682242990658,-6.369877942935084,3
Billy Cundiff,2002,0.0,7.060375391289254,-23.77418423656124,-3.520886792594689,-24.883454614109702,1.6616523901467808,-43.45649786182959,11
Billy Joe Hobert,1996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Billy Kilmer,1961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Billy Lothridge,1964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
Billy Van Heusen,1968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
Bjorn Nittmo,1989,0.0,-2.166666666666667,3.1547619047619055,-3.296703296703297,0.0,-0.7025738798856054,-3.011181938493664,1
Blair Kiel,1986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Blair Walsh,2012,0.0,0.11476903476291422,-8.908020028129235,-5.34883552614012,6.086989169770627,-3.8172303108078474,-11.872327660543661,6
Bob Chandler,1973,0.0,0.0,0.0,0.0,0.0,0.023316062176165775,0.023316062176165775,1
Bob Etter,1968,2.0180281690140864,4.150371287128713,-0.37298323315406456,-8.109740750062924,-1.0166320166320166,-0.692691184280406,-4.023647727986613,2
Bob Grupp,1979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Bob Humphreys,1967,-0.1200000000000001,-8.72923076923077,-1.2452361226180604,1.1712068419385493,-0.42857142857142855,-0.5729136819484255,-9.924745160430135,2
Bob Jencks,1963,0.046875,-12.579570791527313,-6.111885991510005,-5.7282229965156795,-0.9898989898989898,-4.864153175272634,-30.22685694472462,3
Bob Khayat,1960,-1.4309274586173322,2.9613256308908475,-2.9573913043478264,-0.6536210131332088,-1.103174603174603,1.582541926949819,-1.6012468214323037,3
Bob Laraba,1960,0.0,0.0,0.0,0.0,0.0,-0.8878504672897196,-0.8878504672897196,2
Bob Lee,1969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Bob Parsons,1973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
Bob Scarpitto,1965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
Bob Stein,1971,0.0,0.0,-1.6733668341708543,0.0,0.0,0.0,-1.6733668341708543,1
Bob Thomas,1975,1.379432276343032,-9.774140605748382,-2.9510519900154786,-0.2323175634794099,-7.652725934211505,-7.492398155157866,-26.72320197226961,12
Bob Timberlake,1965,-2.390625,0.0,-3.216494845360825,-8.272727272727273,0.0,-0.2877697841726601,-14.167616902260757,1
Bobby Douglass,1971,0.0,0.0,0.0,0.0,0.0,0.01995012468827928,0.01995012468827928,1
Bobby Franklin,1964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Bobby Howfield,1968,-6.617034757600485,-8.567134615688563,8.707525778816745,4.7216683972996005,0.9934658573990804,-3.214346342098395,-3.9758556818720168,7
Bobby Joe Conrad,1960,-2.6153846153846154,-2.0307692307692307,0.0,0.0,0.0,0.046918356138216044,-4.59923549001563,3
Bobby Joe Green,1960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
Bobby Layne,1960,3.3846153846153846,-1.0615384615384618,0.0,0.0,0.0,-0.1487594622346391,2.1743174608422837,2
Bobby Scott,1977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Bobby Walden,1964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
Bobby Walston,1960,2.8052580331061336,2.1629370629370617,-3.7603162055335972,-5.529413556740289,0.0,-1.9817948828567538,-6.3033295490874455,3
Boomer Esiason,1986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
Booth Lusteg,1966,0.45802816901408216,-1.8929620462046195,-9.652460430039493,-2.18231599884587,-2.9140418614102823,-0.9470314463168492,-17.130783613803032,4
Boris Shlapak,1972,0.0,0.0,0.0,-5.7421875,-2.25,0.10096153846153832,-7.891225961538462,1
Boyd Dowler,1960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
Brad Costello,1998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Brad Daluiso,1991,0.5454545454545456,2.3781473908412334,4.429349535991429,-21.72857856059197,-0.12725808674084504,-0.6635969470299108,-15.16648212207552,11
Brad Maynard,1997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
