Name,Season,Yards,TD,INT,Score,Seasons
A.J. Feeley,2001,-687.3062879647455,-4.668604275027045,7.16779971221164,-58.03812237271465,6
A.J. McCarron,2015,-97.4276542528934,-1.8646679039329161,-1.1005878251747603,-6.399542870160982,4
Aaron Brooks,2000,122.41964126807102,3.1252789939921968,-2.8292654082066893,18.03007086780132,7
Aaron Craver,1996,-13.52962731015494,-0.0816900789249788,-0.06680916878640208,-0.7062431857849005,2
Aaron Rodgers,2005,4084.009056858887,115.5594719905056,-79.78999110264552,594.8993790292466,16
Abner Haynes,1960,-23.538908598267405,-0.35071191857665507,1.5822753972252295,-5.0429200615171395,6
Ace Gutowsky,1932,-82.4530421050281,0.4280442489581411,2.7422054069747483,-8.750974421284619,8
Ace Parker,1937,288.087806844238,-5.485514165750656,-14.031525413267065,31.49641283724472,6
Ace Sanders,2013,13.877315835906485,0.9556682840758712,-0.02767975297750331,2.660561865902073,1
Adam Podlesh,2011,-7.198736358414704,-0.04279149913842619,-0.02906375646180356,-0.3873923032739805,1
Adam Vinatieri,2004,-3.0525865231747584,0.9552403081814846,-0.03204109086462028,1.8219334719334719,1
Adimchinobe Echemandu,2004,-7.052586523174758,-0.04475969181851535,-0.03204109086462028,-0.3780665280665281,1
Adrian Breen,1987,-46.6708917055815,0.637684382180713,-0.3202134756504336,-0.4177488696167816,1
Adrian Burk,1950,-359.3629288368636,7.665805840277271,11.316748466605883,-25.27003169450041,7
Adrian Peterson,2007,2.1432091522440597,0.9577588735699618,-0.031328835435611616,2.08533587562335,1
Ahman Green,2000,6.200017324392942,0.9163970291715594,-0.0645738687104725,2.271942661983711,2
Akili Smith,1999,-899.4006785234684,-13.080235491913415,-2.093766693116811,-66.94297152376662,4
Al Carmichael,1960,19.39361989726953,-0.050283860502838604,-0.059205190592051905,0.9875236550419032,1
Al Dodd,1970,-6.727643936300531,-0.043589220089832584,-0.052062066149448756,-0.3194365046957942,1
Al Donelli,1941,-35.456108597285066,0.641628959276018,2.2036199095022626,-4.896787330316743,1
Al Dorow,1954,-485.09244764405463,3.5007159318413863,15.231498250271262,-47.71618701906249,7
Al Frazier,1961,-6.704132231404959,-0.050137741046831955,0.9360881542699725,-2.307658402203857,1
Al Grygo,1945,4.176554342667299,-0.05173232083531087,-0.09159943046986237,0.28856193640246797,1
Al Nichelini,1935,10.814110429447853,-0.0392638036809816,-0.1460122699386503,0.7542024539877301,1
Al Postus,1945,38.882771713336496,-0.2586616041765543,0.5420028476506882,0.34280968201233986,1
Al Toon,1990,6.098089507086252,-0.12171516885337542,-0.10600900989773437,0.27349215744303035,2
Al Woodall,1969,-379.46578462180327,-3.539817791840914,-4.0111044822642175,-18.03071585024356,5
Alan Pastrana,1970,-84.5732952225398,-2.2691915067374437,5.0953450387913435,-18.957737852184565,1
Alan Risher,1987,49.04425172337119,-0.35141946482840414,0.038025350233489075,1.6733229560447733,1
Albert Bentley,1985,-15.093662842318487,-0.12139910827120891,-0.11986001499505264,-0.757761328668237,3
Albert Wilson,2018,50.18682200197671,0.862783646537138,-0.06964182109806942,4.3741920353692505,2
Albie Reisz,1944,88.82542738333592,2.6596004488350093,-1.4316296671140347,12.623731601064884,2
Alex Erickson,2019,18.779308799641516,-0.044642357026830226,-0.022965327956085812,0.895611381840587,1
Alex Espinoza,1987,-28.424060484767622,-0.6340523311837521,1.4396264176117413,-5.568560521829368,1
Alex Hawkins,1962,-7.852315160567588,-0.05601194921583271,-0.06067961165048544,-0.38328043315907395,1
Alex Rado,1934,72.97260273972603,-0.8368617683686177,-1.0784557907845582,4.131818181818183,1
Alex Smith,2005,-1062.8359001607764,-26.663438078115814,-32.150582417351565,-42.16750632956732,14
Alex Tanney,2015,-8.742496862179447,0.3111342305783725,-0.3565536982697813,0.8982510145873351,2
Alex Van Pelt,1995,-234.31044280694522,-2.7291341504926416,8.415649659852747,-34.005089761038036,8
Alex Webster,1959,-7.248788368336026,-0.053042541733979535,-0.05950457727517501,-0.34951534733441036,1
Alfred Anderson,1984,48.064636285049204,1.6184756795445328,0.6343151543704739,4.371552864600578,2
Alfred Jenkins,1976,-6.6267056530214425,-0.042105263157894736,0.9515594541910332,-2.318664717348928,1
Algy Clark,1933,-25.010582191780816,-0.49119240348692406,1.1123100871731006,-4.457534090909091,2
Allen Rice,1986,-6.9892874421176305,-0.04050038012302163,-0.0401548137397194,-0.350155504872486,1
Allie Sherman,1943,-64.03060724316056,1.2582828035368736,-3.3821707909755925,6.079376826866904,5
Alvin Harper,1993,39.30581379214652,-0.03586790620230332,-0.03253781046205079,1.9586304981268214,1
Alvin Kamara,2019,5.779308799641517,-0.044642357026830226,-0.022965327956085812,0.24561138184058703,1
Alvin Moore,1984,-14.175302991307635,-0.08439349163439866,-0.08250677758123146,-0.7125385776717164,2
Amani Toomer,1998,-6.849118729420879,-0.0424817612499193,-0.03286203111885855,-0.36169539673316553,1
Amos Bullocks,1966,-6.913064833005894,-0.045841519318926,-0.05206286836935167,-0.33321054354944335,1
Amos Marsh,1965,-7.4623636027371925,-0.05677825041612724,-0.051229887183280934,-0.3842149066025523,1
Andre Reed,1994,25.232996811902233,-0.0387221041445271,-0.03148246546227418,1.2471705632306058,1
Andre Ware,1990,10.400276299824583,-1.1999868174346016,2.141486448978925,-6.162932717835824,3
Andrew Beck,2019,-1.220691200358483,-0.044642357026830226,-0.022965327956085812,-0.10438861815941297,1
Andrew Luck,2012,-3.2058596031529305,23.71799390943629,0.7263983530049583,45.82289813270502,6
Andrew Walter,2006,-366.94634501948605,-10.166020376033584,5.61353960789849,-49.906437218838455,3
Andy Dalton,2011,-600.7544382429478,5.1135693593383476,7.312481703244359,-34.435546599959416,10
Andy Johnson,1976,104.00281418434608,3.4615561230498,0.40854902019758116,11.306154914921741,3
Andy Lee,2014,11.569845183108153,-0.08977910964162972,-0.048134520863966565,0.4952030816000813,2
Andy Livingston,1969,10.057368006304177,0.7963750985027581,0.803940110323089,0.48773837667454734,1
Andy Marefos,1941,20.932063923835443,0.24901001752412832,2.379698166505375,-3.214773101770721,2
Andy Tomasic,1942,-180.6642984712556,-3.239030342214842,-0.34505211770991684,-14.82117137257263,2
Andy Uram,1939,14.496137470151304,0.5608449064758001,0.27612805891106174,1.294240568637042,2
Angelo Brovelli,1933,-22.453125,-0.8906249999999999,-0.78125,-1.34140625,1
Anquan Boldin,2003,-33.63606620592987,-0.16739391676613746,0.8818865898152031,-3.7803643234591746,4
Anthony Carter,1992,-6.862395584725537,-0.038484486873508354,-0.0387082338902148,-0.34267228520286397,1
Anthony Dilweg,1989,-78.39584048101615,-0.20868850548572537,0.14242731325161,-4.622023661525478,2
Anthony Johnson,1992,-13.556581792579014,-0.07435239307581168,0.9287539556477343,-2.6840417870760427,2
Anthony Miller,2018,0.6282044026936786,-0.04793163940920152,-0.0237111651858978,-0.017030728311923503,1
Anthony Thompson,1991,-6.888888888888889,-0.03663082437275986,-0.0349820788530466,-0.347741935483871,1
Anthony Toney,1987,-6.958861463197687,-0.04528945222741087,-0.0400266844563042,-0.35846860870209774,1
Anthony Wright,2000,-486.6229528042697,-3.781895477244474,5.678978107076924,-43.25289480885628,6
Antonio Andrews,2015,33.748442452727076,0.9539840419718002,-0.023827740736692533,3.643045688053339,1
Antonio Brown,2012,-8.074751721248663,0.7323495797339,0.8456509523734346,-0.6303403313415024,4
Antonio Morrison,2016,-7.152992620934682,-0.04296255807597704,-0.022683793386171085,-0.398207160426346,1
Antwaan Randle El,2002,139.23051701527066,4.91177255901502,-0.8285712428993302,18.442213454592235,8
Archie Griffin,1977,12.324763844315523,1.8416601708206648,-0.2194883258516426,4.738535185560391,2
Archie Manning,1971,-844.3606370226295,-28.323417900338868,-10.236459100600053,-78.39194945060909,13
Archie Roberts,1967,-55.96493037648273,-0.4899432697266632,0.41464672511603917,-4.607426508509541,1
Arian Foster,2014,-2.2094636165333634,0.9548632473852006,-0.025169192907880753,1.8495916997594946,1
Armanti Edwards,2010,-10.283056877460396,-0.12883661068263993,-0.08496422415092852,-0.6018976169364427,3
Arnaz Battle,2005,6.577696397195943,-0.11777000750876956,-0.09319604257068534,0.27973688998362883,2
Arnie Arenz,1934,-14.089041095890408,-0.17434620174346202,0.3586550435865503,-1.770454545454545,1
Arnie Galiffa,1953,12.06685655908558,-0.17411306624940237,3.2340806904706314,-6.213044685485789,2
Arnie Herber,1932,1457.7904703424183,27.557826580709026,-31.89224370671681,191.7896640919726,11
Art Faircloth,1947,-6.225342694750921,0.6857238381812103,-0.41792042795051826,1.896021397525911,1
Art Jones,1941,-53.31131221719457,-1.030316742081448,0.7104072398190047,-6.147013574660634,1
Art Monk,1983,31.90612794959099,-0.08383960461658091,-0.0832713575270122,1.5941699033004118,2
Art Schlichter,1982,-428.68892018107425,-5.539509750589784,2.621265936345141,-37.75599738292357,3
Art Strutt,1935,-0.7824071604279652,-0.11898654456003083,-0.42245932248599627,0.5678251978305325,2
Art Van Tone,1943,-18.700606972978996,-0.2528049012303329,0.5740668719042303,-2.5887738949180763,2
Arthur Marshall,1992,97.44341820742099,1.9256476069241883,-0.07124604435226559,8.865958212923958,2
Austin Davis,2014,-181.1340765391302,-4.144337797253835,2.6121415849127683,-22.569662591289717,2
Aveion Cason,2003,30.362820590553568,-0.03965318620020615,-0.03261989935123992,1.5040744558297459,1
Az-Zahir Hakim,2001,58.58703417438646,0.9211032565412808,-0.06630137762823146,4.904160977058347,2
B.J. Daniels,2015,-7.503115094545851,-0.09203191605639961,-0.04765548147338507,-0.46390862389332166,1
B.J. Sander,2005,-2.7857750242954324,-0.0391156462585034,-0.030733722060252672,-0.1560525996112731,1
Babe Laufenberg,1988,-407.37218014273026,-3.516166598765967,2.9853278361865274,-33.3715978770415,2
Babe Parilli,1952,21.257361253011197,11.911130288166758,13.752936648951593,-2.6207446589191172,15
Baker Mayfield,2018,191.22780872872318,7.147130724899952,10.810021997939566,2.235607890356931,3
Banks McFadden,1940,54.06299911268855,0.6450754214729371,0.20851818988464954,3.576264418811003,1
Barry Foster,1992,-6.862395584725537,-0.038484486873508354,-0.0387082338902148,-0.34267228520286397,1
Barry Helton,1990,8.104600309098682,-0.07917299661306765,-0.07049554437539049,0.38787511097957966,2
Barry Sanders,1992,-16.0849126689628,-0.1570987570008105,0.8660235912543861,-2.850490329958533,3
Bart Starr,1956,1927.126480428391,-10.784329555456678,-41.989208813291725,158.76608253708963,16
Beattie Feathers,1934,-102.94132529323736,2.2893068939461805,0.3008259812337747,-1.1701044392370565,4
Ben Bennett,1987,-16.753168779186126,-0.2717367133644652,0.7598398932621748,-2.900811652212586,1
Ben DiNucci,2020,-91.89268651231163,-2.067034178610805,-0.9734656376332231,-6.781771407570745,1
Ben Graham,2006,-6.850753554213192,-0.039538714991762765,-0.03172859845018,-0.35815791079382514,1
Ben Roethlisberger,2004,4938.16404886406,54.36088953103767,-10.592041068500823,376.81406364227996,17
Ben Starret,1941,-12.114027149321267,-0.08959276018099548,0.8009049773755657,-2.3866968325791857,1
Ben Wilson,1965,0.5376363972628075,-0.05677825041612724,-0.051229887183280934,0.01578509339744777,1
Benjy Dial,1967,-15.834444272205857,-0.15067431405983567,-0.17020616958611068,-0.752658502557743,1
Bennie LaPresta,1933,23.74969178082192,-0.1773692403486924,-0.73326899128269,2.299284090909091,2
Benny Friedman,1932,68.88784180968875,3.7196883812141257,-1.7138570399316742,14.311482932776036,3
Benny Perrin,1983,-10.321278694027816,-0.08742542332640198,-0.08490542657155342,-0.521103928211088,2
Benny Russell,1968,-10.829081000743127,-0.09363388654941789,-0.11245974733713153,-0.5038023284617291,1
Bernard Quarles,1987,19.123415610406937,0.8641316433177674,0.8799199466310874,0.9245941738937069,1
Bernard Scott,2011,-7.198736358414704,-0.04279149913842619,-0.02906375646180356,-0.3873923032739805,1
Bernie Finn,1932,4.053639846743295,-0.040229885057471264,-0.09386973180076628,0.3099616858237548,1
Bernie Kosar,1985,-120.4839949490207,-11.692578840604575,-39.998631315686055,50.58790520271191,12
Bernie Masterson,1934,993.3022197513158,15.748159457337392,-7.480847847417584,96.12312559707576,7
Bert Coan,1966,11.187343043696636,0.9500251130085384,-0.0544952285283777,2.568407835258664,1
Bert Emanuel,1994,-6.767003188097768,-0.0387221041445271,0.9685175345377258,-2.3528294367693943,1
Bert Johnson,1937,-95.79400353740873,-2.4508827308530097,0.6993678296516537,-11.090201297879766,4
Bert Jones,1973,961.8859465447849,17.399333161698245,-25.385865952842526,133.66469555632077,10
Beryl Clark,1940,-38.793256433008025,-0.5732031943212066,0.26175687666370884,-3.609582963620232,1
